0;578
0;357
0;362
0;236
0;463
0;467
0;181
0;824
0;851
0;618
0;805
1;545
1;514
1;100
1;230
1;390
1;540
1;426
1;559
1;721
1;308
1;539
1;92
1;670
2;547
2;742
2;231
2;491
2;336
2;852
2;535
2;858
2;605
2;926
3;995
3;486
3;679
3;209
3;468
3;286
3;350
4;162
4;835
4;806
4;263
4;843
4;898
4;782
4;687
4;657
4;915
4;505
4;605
4;894
5;457
5;638
5;847
6;260
6;649
6;15
6;755
6;276
6;53
6;873
6;761
6;847
6;509
6;414
6;31
7;353
7;843
7;295
7;361
7;138
7;203
7;972
7;751
7;471
7;186
7;891
7;858
8;707
8;900
8;549
8;935
8;941
8;270
8;47
8;851
8;530
8;499
8;662
8;568
8;186
8;220
8;926
9;129
9;219
9;372
9;190
9;535
9;953
9;155
9;446
10;546
10;421
10;648
10;977
10;280
10;922
10;924
10;765
11;832
11;458
11;43
11;141
11;527
11;912
11;269
11;764
12;640
12;603
12;773
12;682
12;237
12;20
12;281
12;538
12;379
12;444
12;93
12;542
13;736
13;514
13;443
13;998
13;710
13;263
13;361
13;330
13;103
13;236
13;430
13;239
13;803
13;632
13;26
13;315
13;986
13;475
14;389
14;39
14;777
14;970
14;205
14;404
14;56
14;217
14;506
14;991
14;351
15;66
15;486
15;714
15;683
15;268
15;906
15;337
15;564
15;663
15;507
15;701
15;607
16;161
16;293
16;325
16;513
16;424
16;73
16;298
16;203
16;916
16;351
16;929
16;638
16;191
17;224
17;417
17;613
17;742
17;586
17;43
17;915
17;622
17;870
17;853
17;120
17;316
17;126
18;804
18;485
18;476
18;558
18;847
18;882
18;409
18;890
18;508
18;221
18;805
19;961
19;995
19;868
19;806
19;551
19;364
19;559
19;881
19;212
19;631
19;666
19;444
19;319
20;353
20;70
20;807
20;776
20;329
20;872
20;533
20;799
21;163
21;600
21;683
21;237
21;776
21;49
21;311
21;56
21;190
21;319
22;672
22;385
22;359
22;747
22;940
22;206
22;819
22;436
22;577
22;695
22;410
22;348
23;792
23;727
24;288
24;673
24;571
24;369
24;114
24;310
24;27
24;989
25;291
25;902
25;175
25;560
25;210
25;980
25;665
25;543
26;261
26;138
26;365
26;334
26;788
26;558
26;759
26;731
26;37
27;694
27;134
27;840
27;490
27;596
27;245
27;214
27;948
27;997
28;491
28;260
28;645
28;264
28;649
28;203
28;82
28;500
28;885
